Price,Description,Location,Shop,Call
Rp 15.850.000,YAMAHA AEROX 2018 HARGA NETT,non,vic,non
Rp 20.500.000,SCOOPY PRESTIGE PUTIH 2022 LIKE NEW,non,Avief,non
Rp 35.000.000,Kawasaki Ninja SS Asli th 2015 Hijau Istimewa Sekali Original tgn 1,non,Agung Mobilindo,non
Rp 29.000.000,Yamaha Scorpio Custom 2011,non,MRS,non
Rp 53.000.000,X MAX 250 Km Rendah. Dpn blakang Brembo asli. Original dikasi,non,Andre,non
Rp 18.850.000,Yamaha Fazzio 2022 Km 4 Rb An Pajak Panjang,non,Diaz_Motor,non
Rp 250.000,Rental mobil matic lepas kunci 24 jam,non,Msky rent car,non
Rp 300.000,Sewa rental mobil keluarga manual matik harian mingguan lepas kunci,non,Alvaro,non
Rp 13.250.000,NET ! Honda Beat Deluxe 2021 Km 1.205,non,Ig otomotif,non
